 "Ferrero,nutella";"Nutella";"NaN";"Produits à tartiner sucrés";"None";"e";"Bi1,Magasins U";"Sucre, huile de palme, noisettes 13%, cacao maigre 7,4%, lait écrémé en poudre 6,6%, lactoserum en poudre, émulsifiants : lécithines [soja], vanilline."
 "Ferrero,Nutella";"Nutella";"NaN";"Produits à tartiner sucrés";"None";"e";"";"Sucre, huile de palme, noisettes 13%, lait écrémé en poudre 8,7%, cacao maigre 7,4%, émulsifiants : lécithines [soja], vanilline. sans gluten"
 "Ferrero,Nutella";"Nutella";"NaN";"Produits à tartiner sucrés";"None";"e";"Auchan";"Sucre, huile de palme, noisettes 13%, lait écrémé en poudre 8,7%, cacao maigre 7,4%, émulsifiants : lécithines [soja] ; vanilline."
 "Rigoni di Asiago";"Nocciolata Pâte à tartiner au cacao et noisettes";"NaN";"Produits à tartiner sucrés";"None";"d";"Magasins U";"Sucre de canne*,pâte de _noisettes_* 18,5 %, huile de tournesol*, _lait_ écrémé en poudre*, cacao maigre en poudre* 6,5 %, beurre de cacao*, émulsifiant : lécithine de _soja_*, extrait de vanille*. * Biologique."
 "Ferrero,Nutella";"Nutella";"NaN";"Produits à tartiner sucrés";"None";"e";"Magasins U";"Sucre, huile de palme, noisettes 13%, cacao maigre 7,4%, lait écrémé en poudre 6,6%, lactoserum en poudre, émulsifiants : lécithines [soja], vanilline."
 "Jardin Bio";"Pâte à Tartiner Chocolat Noisette";"NaN";"Produits à tartiner sucrés";"None";"d";"Magasins U,Intermarché";"Sucre de canne, huile de tournesol, chocolat 16,5 % (sucre de canne, poudre de cacao maigre, beurre de cacao), purée de _noisettes_ 10 %, poudre de _lait_ écrémé, farine de _soja_, émulsifiant : lécithine de _soja_, extrait de vanille Bourbon,"
 "Ferrero, Nutella";"Nutella";"NaN";"Produits à tartiner sucrés";"None";"e";"Magasins U";"Sucre, huile de palme, noisettes 13%, cacao maigre 7,4%, lait écrémé en poudre 6,6%, lactoserum en poudre, émulsifiants : lécithines [soja], vanilline."
 "Rigoni di Asiago";"Nocciolata";"NaN";"Produits à tartiner sucrés";"None";"d";"L'Ethique Verte,Magasins U,Monoprix,carrefour,Cora,Delhaize,Auchan";"Sucre de canne, pâte de _noisettes_ 18,5 %, huile de tournesol, _lait_ écrémé en poudre, cacao maigre en poudre 6,5 %, beurre de cacao, émulsifiant : lécithine de _soja_, extrait vanille*."
 "Nutella,Ferrero";"Nutella";"NaN";"Produits à tartiner sucrés";"None";"e";"Intermarché,Carrefour,Colruyt";"Sucre, huile de palme, noisettes 13%, cacao maigre 7,4%, lait écrémé en poudre 6,6%, lactoserum en poudre, émulsifiants : lécithines [soja], vanilline"
 "Lucien Georgelin";"Pâte a tartiner noisettes cacao";"NaN";"Produits à tartiner sucrés";"None";"e";"Magasins U,leclerc";"Sucre, _noisette_ du Lot et Garonne 16 %, poudre de _lait_, huile de coco, poudre de cacao 7 %, huile de colza, émulsifiant: lécithine de tournesol, arôme vanille,"
 "Rigoni di Asiago";"Nocciolata";"NaN";"Produits à tartiner sucrés";"None";"d";"";"Sucre de canne*, pâte de _noisettes_ 16%*, huile de tournesol*, _lait_ écrémé en poudre*, cacao 6,5%*, beurre de cacao*, lécithine de tournesol, extrait vanille*. *biologique."
